Index,HPD,WW,Instrumentalist,Composer,Anxiety,Depression,Insomnia,OCD,total_score,JHPD
558,3.0,Yes,Yes,No,10.0,2.0,7.0,8.0,7.0,2.99667902859776
559,3.0,No,Yes,Yes,9.0,6.0,8.0,5.0,18.0,3.0274648061419245
560,4.0,Yes,No,No,6.0,4.0,1.0,6.0,9.0,4.026838254873445
561,3.0,Yes,No,No,3.0,4.0,6.0,8.0,16.0,2.940083639743089
562,1.0,Yes,No,No,10.0,10.0,10.0,0.0,38.0,0.9723941500437978
563,7.0,Yes,No,No,4.0,8.0,8.0,4.0,27.0,6.975469758958618
564,1.0,No,No,No,3.0,0.0,0.0,0.0,28.0,0.9752161038286349
565,4.0,Yes,No,No,1.0,0.0,0.0,0.0,17.0,4.084159269242703
566,4.0,Yes,No,No,5.0,6.0,7.0,7.0,21.0,4.053707820864045
567,2.0,Yes,No,No,10.0,8.0,8.0,9.0,30.0,2.012913087459147
568,4.0,Yes,Yes,No,3.0,0.0,3.0,4.0,24.0,4.091712038647603
569,5.0,Yes,No,No,1.0,0.0,0.0,1.0,3.0,5.093190822024371
570,6.0,Yes,No,No,6.0,6.0,0.0,0.0,1.0,6.009632870434412
571,1.0,Yes,No,No,4.0,3.0,4.0,0.0,25.0,1.0802697299586557
572,1.0,No,No,No,6.0,4.0,0.0,0.0,11.0,0.9697779059499263
573,3.0,Yes,No,No,2.0,6.0,3.0,0.0,35.0,3.0179812636932404
574,1.0,Yes,No,No,8.0,3.0,3.0,3.0,10.0,1.0154357440227622
575,8.0,No,No,No,8.0,10.0,7.0,3.0,2.0,8.024387071238126
576,1.0,No,Yes,No,1.0,0.0,0.0,1.0,12.0,0.9679831451648033
577,8.0,Yes,Yes,Yes,8.0,6.0,6.0,8.0,11.0,7.947594688631624
578,1.0,Yes,No,No,6.0,3.0,1.0,7.0,10.0,1.0706458378123802
579,1.0,No,Yes,No,2.0,0.0,3.0,0.0,11.0,0.9760854862531624
580,10.0,Yes,Yes,Yes,0.0,0.0,0.0,0.0,17.0,10.006416207594201
581,10.0,Yes,Yes,Yes,10.0,10.0,6.0,6.0,28.0,9.960243095936852
582,5.0,Yes,No,No,3.0,0.0,0.0,1.0,2.0,4.984887201335161
583,10.0,Yes,No,No,7.0,9.0,10.0,0.0,28.0,10.097010310427878
584,2.0,Yes,Yes,No,8.0,7.0,6.0,2.0,17.0,2.0209497343965466
585,6.0,Yes,No,No,2.0,0.0,10.0,10.0,5.0,6.011209579289064
586,2.0,Yes,No,No,10.0,7.0,9.0,3.0,0.0,1.9153275839192974
587,3.0,Yes,No,No,6.0,0.0,0.0,0.0,32.0,2.9506370414823593
588,8.0,Yes,Yes,Yes,3.0,0.0,2.0,2.0,4.0,7.927180335992579
589,8.0,Yes,No,No,6.0,5.0,9.0,8.0,26.0,7.975209646322244
590,8.0,Yes,No,No,7.0,6.0,5.0,8.0,23.0,7.997668916293715
591,8.0,Yes,Yes,No,10.0,7.0,8.0,6.0,22.0,8.045157334617322
592,12.0,Yes,Yes,No,0.0,3.0,9.0,5.0,29.0,11.983267531236788
593,6.0,Yes,No,No,0.0,2.0,1.0,5.0,6.0,6.027735380913669
594,4.0,Yes,Yes,No,2.0,0.0,0.0,0.0,7.0,4.014271579664138
595,8.0,Yes,No,No,2.0,2.0,4.0,0.0,28.0,8.03923420726182
596,2.0,No,No,No,5.0,6.0,3.0,4.0,26.0,2.0272908221040695
597,1.0,No,No,No,0.0,0.0,1.0,0.0,31.0,1.0505967866186765
598,2.0,Yes,Yes,No,5.0,4.0,3.0,7.0,17.0,1.913528075368367
599,3.0,Yes,Yes,No,2.0,7.0,0.0,0.0,8.0,2.974938634022594
600,1.0,Yes,No,No,0.0,6.0,0.0,4.0,2.0,1.049558380543085
601,0.0,No,No,No,0.0,0.0,0.0,0.0,8.0,0.019275218558018198
602,2.0,Yes,Yes,Yes,7.0,5.0,1.0,3.0,18.0,1.9985458753983192
603,0.1,Yes,Yes,No,7.0,5.0,3.0,1.0,1.0,0.011182198704275809
604,2.0,Yes,No,No,3.0,3.0,1.0,8.0,19.0,2.0339691761290615
605,12.0,Yes,No,No,7.0,10.0,4.0,7.0,9.0,12.098641433148849
606,1.0,Yes,No,No,3.0,2.0,3.0,0.0,10.0,0.9780224110574902
607,1.0,Yes,No,No,5.0,1.0,1.0,9.0,0.0,1.0810310225313589
608,3.0,Yes,No,No,8.0,9.0,4.0,10.0,16.0,3.043861493946589
609,2.0,Yes,No,No,4.0,8.0,0.0,0.0,16.0,1.9257957072712135
610,2.0,Yes,No,No,7.0,9.0,7.0,0.0,15.0,1.9161879784481206
611,3.0,Yes,Yes,No,1.0,5.0,6.0,4.0,28.0,2.9091477852691376
612,1.0,No,No,No,3.0,2.0,1.0,0.0,8.0,1.0722140565150686
613,3.0,Yes,Yes,Yes,6.0,8.0,0.0,0.0,16.0,3.06890473613605
614,3.0,Yes,No,No,6.0,3.0,6.0,0.0,31.0,2.919409463189819
615,5.0,Yes,Yes,Yes,7.0,4.0,8.0,0.0,12.0,4.901894122799599
616,8.0,Yes,No,No,2.0,6.0,9.0,1.0,23.0,7.993384595552207
617,4.0,Yes,No,No,8.0,5.0,3.0,8.0,16.0,3.9196444475902097
618,5.0,Yes,No,Yes,3.0,3.0,0.0,0.0,6.0,5.0986350426611695
619,3.0,Yes,No,No,7.0,5.0,3.0,3.0,14.0,3.073666081730572
620,4.0,Yes,No,No,4.0,8.0,2.0,3.0,15.0,4.041727293231926
621,1.0,Yes,Yes,No,3.0,0.0,0.0,5.0,19.0,0.9388145080861868
622,4.0,Yes,No,No,10.0,7.0,3.0,2.0,18.0,4.033825695950643
623,1.0,No,No,No,10.0,4.0,8.0,0.0,24.0,1.0082982282446062
624,2.0,Yes,Yes,No,2.0,2.0,0.0,0.0,6.0,1.9757191289455502
625,6.0,Yes,No,No,8.0,7.0,7.0,3.0,18.0,6.036225764578425
626,2.0,No,No,No,10.0,5.0,2.0,8.0,17.0,1.9995255217583272
627,1.0,Yes,No,No,9.0,10.0,10.0,6.0,8.0,1.087551217057112
628,4.0,Yes,Yes,No,5.0,2.0,1.0,6.0,22.0,4.075546070635704
629,8.0,Yes,Yes,Yes,4.0,8.0,9.0,1.0,22.0,7.970613492117606
630,2.0,Yes,No,No,7.0,8.0,5.0,3.0,4.0,2.0595496072152617
631,2.0,Yes,No,No,2.0,2.0,0.0,3.0,25.0,2.0928576941024275
632,10.0,Yes,No,Yes,10.0,3.0,0.0,4.0,25.0,10.006128168270152
633,0.0,No,No,No,10.0,10.0,10.0,9.0,35.0,-0.03477344958462865
634,6.0,Yes,No,No,3.0,7.0,7.0,4.0,14.0,6.052480574558336
635,3.0,Yes,No,No,7.0,5.0,7.0,7.0,22.0,2.9655590057085495
636,2.0,Yes,No,No,7.0,4.0,8.0,8.0,23.0,1.9374568603269657
637,0.25,No,Yes,No,7.0,9.0,4.0,5.0,7.0,0.20525742997922464
638,4.0,Yes,No,No,4.0,7.0,1.0,3.0,17.0,4.038901823445903
639,2.0,No,No,No,5.0,9.0,9.0,6.0,39.0,1.9540094090490732
640,2.0,Yes,No,No,5.0,4.0,10.0,7.0,21.0,1.9269529995231807
641,3.0,Yes,No,No,7.0,2.0,0.0,1.0,26.0,2.9126852502034586
642,6.0,Yes,No,No,8.0,6.0,0.0,2.0,27.0,5.978483143023349
643,3.0,No,No,No,1.0,3.0,10.0,0.0,25.0,2.9324789374345976
644,2.0,Yes,No,No,8.0,10.0,10.0,2.0,15.0,2.074278161840208
645,5.0,Yes,Yes,No,4.0,7.0,6.0,0.0,29.0,4.990366882801355
646,4.0,No,No,No,9.0,6.0,3.0,0.0,26.0,3.9900905273890084
647,4.0,Yes,No,No,10.0,7.0,4.0,4.0,10.0,3.926869090130692
648,0.0,No,No,No,1.0,2.0,2.0,0.0,16.0,-0.019403783602778724
